"anfang","ende"
"1",69.6,60.9
"2",65.7,57.9
"3",70.3,62.7
"4",68.8,67.8
"5",66.2,67.5
"6",64.5,70.3
"7",66.5,71.6
"8",64.6,59.2
"9",72.1,65.4
"10",77.6,67.6
"11",76.8,73.6
"12",79.4,72.9
"13",78.7,72.4
"14",73.1,75
"15",73,76.6
"16",79.9,71.4
"17",81.7,79.7
"18",NA,77.9
"19",65.3,65.8
"20",65.3,62.5
"21",66,63.9
"22",66.9,65.9
"23",63.3,64.7
"24",62.9,64
"25",67.1,65.3
"26",70.8,58.6
"27",61.7,60.6
"28",76.3,73.9
"29",75.8,71.5
"30",74.8,71.3
"31",76.5,71.6
"32",81.6,73
"33",77.8,NA
"34",75.1,74.8
"35",78.9,71.7
"36",NA,71
"37",68.5,66
"38",72.3,67.3
"39",67.3,60.8
"40",68,60.7
"41",70.3,61
"42",64.7,62.1
"43",NA,65.2
"44",72.6,61.7
"45",70.7,65.1
"46",84.5,72.6
"47",82.8,74.5
"48",79.5,78.7
"49",80.9,73.8
"50",80.4,77
"51",79.5,79.6
"52",77,75.8
"53",79.1,73
"54",76.6,75.4
