"wohnform"|"kontakt"
"1"|2|2
"2"|1|2
"3"|2|2
"4"|4|1
"5"|2|1
"6"|1|1
"7"|4|2
"8"|4|2
"9"|4|1
"10"|2|2
"11"|NA|2
"12"|4|2
"13"|3|1
"14"|2|2
"15"|1|1
"16"|2|1
"17"|2|2
"18"|2|2
"19"|1|2
"20"|NA|1
"21"|4|2
"22"|4|2
"23"|2|2
"24"|2|2
"25"|2|2
"26"|1|1
"27"|3|2
"28"|2|2
"29"|2|1
"30"|2|2
"31"|3|2
"32"|2|2
"33"|4|1
"34"|1|2
"35"|3|1
"36"|2|NA
"37"|1|1
"38"|4|2
"39"|2|2
"40"|2|1
"41"|4|2
"42"|2|2
"43"|2|1
"44"|3|2
"45"|1|1
"46"|1|2
"47"|2|1
"48"|2|2
"49"|2|1
"50"|1|1
"51"|4|1
"52"|4|2
"53"|3|2
"54"|1|1
"55"|1|1
"56"|2|1
"57"|2|2
"58"|1|2
"59"|3|1
"60"|1|2
"61"|4|1
"62"|4|2
"63"|2|2
"64"|3|2
"65"|2|2
"66"|4|2
"67"|3|2
"68"|3|NA
"69"|4|2
"70"|3|2
"71"|2|2
"72"|2|2
"73"|2|2
"74"|1|2
"75"|2|1
"76"|1|2
"77"|3|2
"78"|4|1
"79"|2|2
"80"|1|1
"81"|2|1
"82"|2|2
"83"|3|2
"84"|2|1
"85"|2|2
"86"|1|2
"87"|1|1
"88"|3|1
"89"|NA|1
"90"|1|1
"91"|2|2
"92"|1|2
"93"|2|2
"94"|2|1
"95"|4|2
"96"|1|1
"97"|2|2
"98"|4|2
"99"|1|2
"100"|1|2
"101"|2|2
"102"|3|2
"103"|1|1
"104"|2|2
"105"|3|2
"106"|4|2
"107"|2|2
